"(Intercept)","DOY","glacier_len_norm","noise_4kHz","runoff_racmo","site","temp_deep","temp_shallow","velocity","year","DOY:runoff_racmo","DOY:temp_deep","DOY:temp_shallow","df","logLik","AICc","delta","weight"
9.11928957309716,-0.0409401932305909,NA,NA,-0.00831650350090345,NA,NA,NA,NA,"+",NA,NA,NA,4,-179.988444474047,368.084997056202,0,0.0281055904767378
3.92979766787917,-0.0372191424449257,NA,0.0440425150303854,-0.00788819321282773,NA,NA,NA,NA,"+",NA,NA,NA,5,-179.392631486743,368.947864599503,0.862867543300524,0.0182567474366065
12.0909882109917,-0.0831849722343597,NA,0.0790173192217602,NA,NA,-34.0889078291974,NA,NA,"+",NA,0.133863795713041,NA,6,-178.398278182891,369.024817235347,0.939820179145158,0.0175676372421538
6.85358217563552,-0.0366542182817806,NA,NA,-0.0110672743940283,"+",2.66482167182149,NA,NA,"+",NA,NA,NA,7,-177.395606841939,369.096390795596,1.0113937393935,0.0169500644504431
7.63811566727224,-0.038167475984329,NA,NA,-0.0094470651476717,NA,1.28635751455752,NA,NA,"+",NA,NA,NA,5,-179.483536236257,369.129674098531,1.04467704232866,0.0166703215336436
8.82508303195157,-0.0676162971744659,NA,0.067544521916966,-0.00517929535758316,NA,-21.0680121569717,NA,NA,"+",NA,0.0860176751981023,NA,7,-177.562626157474,369.430429426665,1.34543237046273,0.0143428609074033
15.5186679373584,-0.0693295021011274,NA,NA,-0.00782249296224225,"+",-17.9162352708072,NA,NA,"+",NA,0.078392261290124,NA,8,-176.601568922796,369.596580468544,1.51158341234162,0.0131994716164087
1.62755478292843,-0.0337099090258768,NA,0.0495604368119915,-0.00915063675415029,NA,1.46021860007281,NA,NA,"+",NA,NA,NA,6,-178.751048708389,369.730358286343,1.64536123014102,0.0123454539097287
14.2404052593002,-0.0631634077643558,NA,NA,-0.00669920173149924,NA,-14.6122176884892,NA,NA,"+",NA,0.0605009622945637,NA,6,-178.8364901712,369.901241211965,1.81624415576312,0.0113344462314585
9.20187942138683,-0.0410638609472675,NA,NA,-0.00883814619527443,NA,NA,0.199568431417448,NA,"+",NA,NA,NA,5,-179.93002614211,370.022653910235,1.93765685403338,0.0106668422921519
