"","runoff_racmo","salt_shallow","salt_deep","temp_shallow","temp_deep","ice_cover_percent","velocity","noise_4kHz","DOY","glacier_len_norm"
"runoff_racmo",1,"","","","","","","","",""
"salt_shallow",0.09,"1","","","","","","","",""
"salt_deep",0.55,"0.56","1","","","","","","",""
"temp_shallow",0.59,"0.26","0.51","1","","","","","",""
"temp_deep",0.35,"0.66","0.54","0.51","1","","","","",""
"ice_cover_percent",-0.12,"-0.09","-0.26","-0.16","-0.03","1","","","",""
"velocity",0.14,"-0.07","0.35","0.37","0.03","0.05","1","","",""
"noise_4kHz",0.26,"-0.01","0.38","0.23","0.01","-0.6","0.01","1","",""
"DOY",-0.59,"-0.45","-0.75","-0.39","-0.49","0.4","0","-0.56","1",""
"glacier_len_norm",-0.01,"0.07","-0.15","-0.19","0.2","0","-0.49","0.05","-0.15","1"
