"(Intercept)","DOY","I(DOY^2)","glacier_len_norm","ice_cover_percent","noise_4kHz","runoff_racmo","site","temp_surf","I(temp_surf^2)","velocity","year","df","logLik","AICc","delta","weight"
-59.7442248862715,0.475607355211724,-0.000960258420535785,NA,-0.248807561147111,NA,NA,NA,NA,NA,NA,"+",5,-177.007490571098,364.145132986013,0,0.0657516752626481
-57.8551224892568,0.491460502028686,-0.000994888373020875,NA,-0.278421493067374,-0.0377659200516116,NA,NA,NA,NA,NA,"+",6,-176.682394552379,365.54739780041,1.4022648143972,0.0326143619774702
-59.4921833653079,0.47525986772165,-0.000959860225937037,NA,-0.247986604732206,NA,NA,NA,NA,NA,-9.00606922212548e-05,"+",6,-176.751860952914,365.686330601481,1.54119761546798,0.0304256603332787
-61.8456485379278,0.491609590462321,-0.000989851369401603,0.566503542281934,-0.251284250106237,NA,NA,NA,NA,NA,NA,"+",6,-176.782404405801,365.747417507255,1.60228452124198,0.0295104043026732
-58.9074035252874,0.469564974917003,-0.000950234408036622,NA,-0.244332959563454,NA,NA,NA,-0.204444941756922,NA,NA,"+",6,-176.926529599378,366.035667894408,1.89053490839535,0.025549498692602
-63.1834171403878,0.500299425757675,-0.00100549214700055,NA,-0.240322583778913,NA,NA,NA,NA,0.612084340808011,NA,"+",6,-176.950608323737,366.083825343125,1.9386923571123,0.0249416468726261
-56.2445243269575,0.450113624450938,-0.000914127475534984,NA,-0.245495327890782,NA,-0.00081110279393844,NA,NA,NA,NA,"+",6,-176.978398324094,366.139405343841,1.99427235782775,0.0242580609170702
-58.9743640874948,0.470751601939036,-0.000951448985258263,NA,-0.249772628984994,NA,NA,"+",NA,NA,NA,"+",7,-176.127591023477,366.499190761552,2.35405777553848,0.0202642097242548
-27.4670536300635,0.431297871899788,-0.000894456518788577,NA,-0.273286911189205,NA,NA,"+",NA,NA,-0.00826517119555365,NA,7,-176.209895177511,366.663799069619,2.51866608360569,0.0186631708420568
-57.8782665947395,0.489024050081115,-0.000989873954442119,NA,-0.273700232278763,-0.0328795133088699,NA,NA,NA,NA,-7.48052194678889e-05,"+",7,-176.512411954971,367.268832624538,3.12369963852512,0.01379126375896
-59.7677730214878,0.503238408762951,-0.00101608984135709,0.478568783117073,-0.277523730191752,-0.0343231868923092,NA,NA,NA,NA,NA,"+",7,-176.521396136188,367.286800986972,3.14166800095904,0.0136679154675158
-63.1670983048037,0.53407896223509,-0.00107385618819374,NA,-0.268689800164942,-0.0434662779216693,NA,NA,NA,0.986963426230997,NA,"+",7,-176.54251344679,367.329035608177,3.1839026221644,0.0133823120527458
-57.1731657183498,0.485676527040847,-0.000985008467752766,NA,-0.273519811235753,-0.0366805824698966,NA,NA,-0.178146896731082,NA,NA,"+",7,-176.621324940883,367.486658596364,3.34152561035086,0.0123681218624129
-54.9362457737376,0.469789712366087,-0.000955557289366389,NA,-0.275155739161062,-0.0372676820774281,-0.00067576916343478,NA,NA,NA,NA,"+",7,-176.662306232699,367.568621179996,3.42348819398285,0.0118715057385244
-60.7068004438825,0.48400595479215,-0.000975947887502596,0.309696010675597,-0.249545488957247,NA,NA,NA,NA,NA,-6.10755715147351e-05,"+",7,-176.710662936935,367.665334588466,3.52020160245291,0.0113110977867029
-56.5491667811956,0.48996360965547,-0.000993460713956458,NA,-0.28667350261898,-0.0465602890380187,NA,"+",NA,NA,NA,"+",8,-175.681480211907,367.677370904163,3.53223791815026,0.0112432302384267
-61.6416857301211,0.490600227758255,-0.000987943216929826,NA,-0.242628722544284,NA,NA,NA,NA,0.383902273425089,-8.50089692550954e-05,"+",7,-176.730150146142,367.704309006881,3.55917602086765,0.0110928098767361
-25.1578809313251,0.467431496402821,-0.000966337758631175,1.27146427094933,-0.277446103024444,NA,NA,"+",NA,NA,-0.0104413772405612,NA,8,-175.700648121956,367.715706724261,3.57057373824796,0.0110297733096191
-64.3661396142958,0.509693048349382,-0.00102301855855881,0.541141953582228,-0.244685542775225,NA,NA,NA,NA,0.461056604116517,NA,"+",7,-176.750581734289,367.745172183175,3.60003919716206,0.0108684658110273
-59.3941046094813,0.474495489563795,-0.000958583393642174,NA,-0.247433071314617,NA,NA,NA,-0.0265652252337986,NA,-8.66929807286425e-05,"+",7,-176.750849716783,367.745708148162,3.60057516214891,0.0108655536426821
-59.500754855805,0.475322760219173,-0.000959974177078977,NA,-0.247994592187432,NA,1.99980431953813e-06,NA,NA,NA,-9.00859545029214e-05,"+",7,-176.751860797064,367.747730308725,3.60259732271203,0.0108545732476116
-61.1671955686198,0.486637662830863,-0.000981317596697801,0.512284456528527,-0.248485272729499,NA,NA,NA,-0.115557012452561,NA,NA,"+",7,-176.758450352671,367.760909419939,3.61577643392565,0.0107832815817766
-60.095173905791,0.478826461311971,-0.000966682748920345,0.547797947570727,-0.249583805756864,NA,-0.000385255547112141,NA,NA,NA,NA,"+",7,-176.776062381718,367.796133478034,3.65100049202084,0.0105950287366712
-26.0116784812222,0.374787822543771,-0.000787781625119734,NA,-0.291021691516699,NA,NA,"+",NA,-1.80047841956225,-0.00619156177569133,NA,8,-175.768637078764,367.851684637877,3.70655165186434,0.0103047950328937
-61.3772904982157,0.487293475894872,-0.000982508571274652,NA,-0.23935346482743,NA,NA,NA,-0.165813581957376,0.415548954847117,NA,"+",7,-176.903215877798,368.050440470193,3.9053074841799,0.00932996634734687
-24.5270479573341,0.44633258617294,-0.000928316803698035,NA,-0.307772628003373,-0.0402048004025629,NA,"+",NA,NA,-0.00846107278226258,NA,8,-175.871240554286,368.056891588921,3.91175860290809,0.00929992047045861
-59.3652472901017,0.47243689409212,-0.00095510328165066,NA,-0.235658662420511,NA,-0.000952335240227088,NA,NA,0.670610253466263,NA,"+",7,-176.910925902029,368.065860518655,3.92072753264176,0.00925830867689351
-34.8244433703468,0.297764033008696,-0.000632174289770011,NA,-0.352095692694606,NA,NA,"+",NA,-3.33546124143073,NA,NA,7,-176.918520421312,368.08104955722,3.93591657120731,0.00918826259295724
-58.6038653880248,0.467352139960793,-0.00094620106507099,NA,-0.244167204835872,NA,-7.66153570915974e-05,NA,-0.197942126790444,NA,NA,"+",7,-176.926352666507,368.096714047611,3.95158106159795,0.00911657895576848
-34.3507073246438,0.452329977281044,-0.000928555848214999,NA,-0.283745827008272,NA,NA,"+",0.485003815287123,NA,-0.00699287150063342,NA,8,-175.946030913646,368.206472307641,4.06133932162828,0.00862974959644714
-60.4647580736855,0.481664913315349,-0.000969483105370726,NA,-0.261550219545069,NA,NA,"+",0.413121186688625,NA,NA,"+",8,-175.947048387247,368.208507254843,4.06337426882965,0.00862097351952266
-44.4560669187592,0.458334532030369,-0.000936662168720793,NA,-0.254117641180355,NA,NA,"+",NA,NA,-0.00405818892668603,"+",8,-175.954367072588,368.223144625526,4.07801163951308,0.00855810964804008
-61.5717407270803,0.491342792179847,-0.000989992898097443,0.676939517631397,-0.251338035466713,NA,NA,"+",NA,NA,NA,"+",8,-175.971772052629,368.257954585608,4.11282159959484,0.0084104447008582
-52.1029703374332,0.421806010536892,-0.000861862741159253,NA,-0.269637874690507,NA,NA,"+",NA,-1.19710171197319,NA,"+",8,-175.987366616124,368.289143712597,4.14401072658359,0.00828030486133608
-58.2023175783396,0.465142952246756,-0.000941294587836284,NA,-0.249036731570716,NA,-0.000177771631854524,"+",NA,NA,NA,"+",8,-176.126355450612,368.567121381573,4.42198839556005,0.00720583383088705
