"","runoff_racmo","salt_shallow","salt_deep","temp_shallow","temp_deep","ice_cover_percent","velocity","noise_4kHz","DOY","glacier_len_norm"
"runoff_racmo",1,"","","","","","","","",""
"salt_shallow",0.16,"1","","","","","","","",""
"salt_deep",0.44,"0.76","1","","","","","","",""
"temp_shallow",0.59,"0.15","0.36","1","","","","","",""
"temp_deep",0.33,"0.85","0.82","0.37","1","","","","",""
"ice_cover_percent",-0.13,"-0.14","-0.28","-0.08","-0.16","1","","","",""
"velocity",0.13,"-0.21","0.23","0.36","-0.03","-0.04","1","","",""
"noise_4kHz",0.25,"0.28","0.47","0.16","0.28","-0.57","0.05","1","",""
"DOY",-0.47,"-0.71","-0.9","-0.3","-0.8","0.35","-0.06","-0.53","1",""
"glacier_len_norm",0.03,"0.46","0.14","-0.17","0.4","0.04","-0.55","0.12","-0.3","1"
